issue_type,status,severity,scope,record_name,field,message,workbook_value,legacy_value,workbook_ref,legacy_ref
mismatch,missing_in_legacy,warning,parent_batch,N6,legacy_match,Parent batch appears in the workbook summary but has no exact legacy experiment match.,null,null,Experimental Data!19,
mismatch,missing_in_legacy,warning,variant_batch,N6A,legacy_match,Workbook variant has no matching legacy experiment entry.,null,null,Experimental Data!23,
mismatch,missing_in_legacy,warning,variant_batch,N6B,legacy_match,Workbook variant has no matching legacy experiment entry.,null,null,Experimental Data!24,
mismatch,missing_in_legacy,warning,variant_batch,N6C,legacy_match,Workbook variant has no matching legacy experiment entry.,null,null,Experimental Data!25,
mismatch,missing_in_legacy,warning,variant_batch,N6D,legacy_match,Workbook variant has no matching legacy experiment entry.,null,null,Experimental Data!22,
mismatch,missing_in_legacy,warning,variant_batch,N6 remake,legacy_match,Workbook variant has no matching legacy experiment entry.,null,null,Experimental Data!38,
mismatch,mismatch,warning,variant_batch,N5a,formulation,Workbook-derived formulation does not match the existing database entry.,"[{""Component"": ""NMC811"", ""Dry Mass Fraction (%)"": 92.0, ""metadata"": {""source_name"": ""NMC811""}}, {""Component"": ""Super P"", ""Dry Mass Fraction (%)"": 3.5, ""metadata"": {""source_name"": ""Super P""}}, {""Component"": ""MWCNTs"", ""Dry Mass Fraction (%)"": 0.5, ""metadata"": {""source_name"": ""MWCNTs""}}, {""Component"": ""PVDF HSV1810"", ""Dry Mass Fraction (%)"": 4.0, ""metadata"": {""source_name"": ""PVDF HSV1810"", ""manufacturer_hint"": ""Arkema"", ""product_hint"": ""HSV1810""}}]","[{""Component"": ""NMC811"", ""Dry Mass Fraction (%)"": 92.0, ""metadata"": {""source_name"": ""NMC811 (MSE)""}}, {""Component"": ""PVDF HSV1810"", ""Dry Mass Fraction (%)"": 4.0, ""metadata"": {""source_name"": ""PVDF HSV1810"", ""manufacturer_hint"": ""Arkema"", ""product_hint"": ""HSV1810""}}, {""Component"": ""Super P"", ""Dry Mass Fraction (%)"": 3.5, ""metadata"": {""source_name"": ""Super P""}}, {""Component"": ""CNTs"", ""Dry Mass Fraction (%)"": 50.0, ""metadata"": {""source_name"": ""CNTs""}}]",Experimental Data!12,cell_experiments:69
mismatch,missing_in_legacy,warning,variant_batch,N5b,legacy_match,Workbook variant has no matching legacy experiment entry.,null,null,Experimental Data!13,
mismatch,missing_in_legacy,warning,variant_batch,N5c,legacy_match,Workbook variant has no matching legacy experiment entry.,null,null,Experimental Data!14,
mismatch,missing_in_legacy,warning,variant_batch,N5d,legacy_match,Workbook variant has no matching legacy experiment entry.,null,null,Experimental Data!15,
mismatch,missing_in_legacy,warning,variant_batch,N5E,legacy_match,Workbook variant has no matching legacy experiment entry.,null,null,Experimental Data!16,
mismatch,missing_in_legacy,warning,variant_batch,N5f,legacy_match,Workbook variant has no matching legacy experiment entry.,null,null,Compiled!10,
mismatch,mismatch,warning,variant_batch,N5g,formulation,Workbook-derived formulation does not match the existing database entry.,"[{""Component"": ""NMC811"", ""Dry Mass Fraction (%)"": 92.0, ""metadata"": {""source_name"": ""NMC811""}}, {""Component"": ""Super P"", ""Dry Mass Fraction (%)"": 3.5, ""metadata"": {""source_name"": ""Super P""}}, {""Component"": ""MWCNTs"", ""Dry Mass Fraction (%)"": 0.5, ""metadata"": {""source_name"": ""MWCNTs""}}, {""Component"": ""PVDF HSV1810"", ""Dry Mass Fraction (%)"": 4.0, ""metadata"": {""source_name"": ""PVDF HSV1810"", ""manufacturer_hint"": ""Arkema"", ""product_hint"": ""HSV1810""}}]","[{""Component"": ""NMC811"", ""Dry Mass Fraction (%)"": 92.0, ""metadata"": {""source_name"": ""NMC811 (MSE)""}}, {""Component"": ""Super P"", ""Dry Mass Fraction (%)"": 3.5, ""metadata"": {""source_name"": ""Super P""}}, {""Component"": ""CNTs"", ""Dry Mass Fraction (%)"": 50.0, ""metadata"": {""source_name"": ""CNTs""}}, {""Component"": ""PVDF HSV1810"", ""Dry Mass Fraction (%)"": 4.0, ""metadata"": {""source_name"": ""PVDF HSV1810"", ""manufacturer_hint"": ""Arkema"", ""product_hint"": ""HSV1810""}}]",Experimental Data!17,cell_experiments:70
mismatch,missing_in_legacy,warning,variant_batch,N5h,legacy_match,Workbook variant has no matching legacy experiment entry.,null,null,Experimental Data!18,
mismatch,missing_in_legacy,warning,variant_batch,N5I,legacy_match,Workbook variant has no matching legacy experiment entry.,null,null,Experimental Data!21,
mismatch,missing_in_legacy,warning,parent_batch,N3,legacy_match,Parent batch appears in the workbook summary but has no exact legacy experiment match.,null,null,Experimental Data!8,
mismatch,mismatch,warning,variant_batch,N2A,electrolyte,Workbook electrolyte does not match the existing database entry.,"""LiPF6 (1:1:1)""","""1M LiTFSI 3:7 +10% FEC""",Experimental Data!4,cell_experiments:62
mismatch,missing_in_legacy,warning,variant_batch,N2AB2,legacy_match,Workbook variant has no matching legacy experiment entry.,null,null,Experimental Data!7,
mismatch,missing_in_legacy,warning,variant_batch,N2B,legacy_match,Workbook variant has no matching legacy experiment entry.,null,null,Experimental Data!6,
mismatch,legacy_only,warning,variant_batch,N1a,workbook_match,Legacy experiment exists without a matching summary-sheet variant row.,null,null,,cell_experiments:40
mismatch,mismatch,warning,variant_batch,N1B,electrolyte,Workbook electrolyte does not match the existing database entry.,"""LiPF6 (1:1:1)""","""1M LiTFSI 3:7 +10% FEC""",Experimental Data!3,cell_experiments:38
